"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.74363940793692e-96,-0.677830169520033,0.219,0.354,1.69132949645519e-91,"BTG3"
8.23857090016845e-96,-0.78862496854822,0.131,0.247,2.4260119729726e-91,"RCAN2"
6.98057283996137e-95,-0.82120663637409,0.239,0.372,2.05556928418342e-90,"DDIT3"
1.55681993138939e-94,-0.595018207269261,0.181,0.313,4.58436765196234e-90,"CTNNAL1"
2.01927599178827e-94,-1.44261635025068,0.138,0.244,5.94616201301892e-90,"SLC9A3R2"
7.97301434545586e-93,-0.516481600180293,0.154,0.279,2.34781353430639e-88,"SERTAD3"
1.46907293422259e-91,-0.595182230763343,0.469,0.626,4.32597906940526e-87,"DNAJA1"
4.0663225955537e-91,-1.08170943815646,0.11,0.214,1.1974100147127e-86,"LBH"
6.07542633252715e-91,-0.520329869181686,0.682,0.788,1.78903079213927e-86,"HSPA8"
2.4730732063692e-90,-0.84267026676084,0.113,0.216,7.28245867079539e-86,"ENG"
2.55341914993449e-89,-1.27426429088082,0.517,0.632,7.5190533708121e-85,"HSPA1A"
1.08734002827029e-88,-0.616505403046888,0.345,0.484,3.20189018124752e-84,"SLC25A4"
2.4594963860422e-88,-0.532659882326575,0.141,0.258,7.24247900797846e-84,"RNF152"
2.14399354995542e-86,-0.567637696918117,0.3,0.442,6.31341780655373e-82,"ZNF593"
4.28612702893074e-85,-0.6101757715741,0.361,0.509,1.26213582620923e-80,"GLUL"
4.85112993277851e-85,-0.93843232808358,0.111,0.21,1.42851223130529e-80,"CX3CL1"
4.87395485572478e-85,-0.990576713749491,0.12,0.222,1.43523348636528e-80,"GADD45G"
4.75912865642101e-84,-0.58166783798338,0.101,0.201,1.4014206154563e-79,"JOSD1"
4.8280854893495e-84,-0.505676400806767,0.256,0.398,1.42172633404875e-79,"PINK1"
5.81170732035255e-84,-0.551774875864833,0.241,0.377,1.71137345462421e-79,"NDRG2"
1.09935221563169e-83,-0.597667178099006,0.157,0.276,3.23726246937064e-79,"ALDH1L1"
1.56621191153092e-81,-0.72177071286637,0.115,0.216,4.6120242158851e-77,"KDM6B"
7.49425893757737e-81,-0.698770059158012,0.145,0.255,2.20683442934841e-76,"TUBB2A"
1.9670036136543e-80,-0.505703987051115,0.116,0.22,5.79223554112783e-76,"SEPT6"
5.17250334673805e-80,-0.515128382547425,0.19,0.313,1.52314706051395e-75,"ANKRD9"
5.74465809059393e-79,-0.552576378550503,0.108,0.207,1.69162946793719e-74,"SIK2"
4.48338585827148e-75,-0.585414784883757,0.247,0.377,1.3202226336852e-70,"FBXO21"
8.26357932190209e-75,-0.864318710814256,0.166,0.272,2.43337620292051e-70,"SRGN"
1.02192914199454e-74,-0.507260084827533,0.186,0.304,3.00927474443132e-70,"HSF1"
2.85758555437708e-73,-0.795566477000363,0.15,0.257,8.41473218197419e-69,"PCK1"
2.94956785449308e-73,-0.743388489358626,0.137,0.238,8.68559246112578e-69,"FZD4"
5.35134744503761e-73,-0.559724545174846,0.274,0.397,1.57581128214022e-68,"ID3"
9.21528929082317e-72,-0.682485439380457,0.21,0.334,2.7136262374687e-67,"VEGFA"
2.41965760614667e-71,-0.88565206242252,0.121,0.214,7.1251657528201e-67,"RGS3"
4.19583292461357e-71,-1.35742769549308,0.192,0.3,1.23554692131096e-66,"MYL9"
1.90610383949099e-70,-0.577864384676627,0.134,0.236,5.6129039761491e-66,"HMGCR"
2.19474489616276e-70,-0.501785301343242,0.121,0.219,6.46286529573049e-66,"DPH3"
4.24892294781072e-70,-0.576056768878035,0.127,0.225,1.25118034044182e-65,"TCEB1"
1.11123215352402e-69,-1.02511484530611,0.215,0.317,3.27224532248217e-65,"VAMP5"
1.94223035705515e-69,-0.708265929879982,0.191,0.302,5.71928573242029e-65,"PRSS23"
1.33915532765596e-67,-0.548620809818144,0.13,0.229,3.9434106933485e-63,"COL4A3BP"
1.83007128519831e-66,-1.34098372742196,0.14,0.231,5.38901091352347e-62,"SOCS3"
2.99575236411141e-66,-0.509935384499667,0.13,0.228,8.82159198659888e-62,"SEPT10"
1.2879222557826e-65,-0.650853456378844,0.551,0.687,3.79254466660302e-61,"BTG1"
4.24035803137535e-65,-1.46844341044197,0.354,0.437,1.2486582294991e-60,"IER3"
6.0704120942379e-65,-0.817222982065523,0.17,0.266,1.78755424939023e-60,"SMIM6"
7.90909593575447e-64,-1.31598691114797,0.204,0.303,2.32899148020162e-59,"HYAL2"
2.70803538760781e-63,-0.62735768528426,0.206,0.314,7.97435180588873e-59,"ID2"
9.163246303462e-63,-0.553548822281107,0.156,0.259,2.69830113898045e-58,"BEX5"
1.03782250731227e-62,-0.60880354915866,0.13,0.223,3.05607593728245e-58,"DLGAP1-AS1"
8.01950013927939e-62,-0.782011467866199,0.298,0.408,2.3615022060136e-57,"ID1"
8.06115005702901e-61,-0.646715354445603,0.294,0.394,2.37376685729333e-56,"GNB2L1"
8.97955344453178e-61,-0.768977628668766,0.446,0.564,2.64420910281127e-56,"ZFP36L2"
1.47152350412372e-60,-0.706676799289301,0.275,0.389,4.33319526259312e-56,"NCOA7"
1.79041718333787e-60,-0.744783152266617,0.128,0.216,5.27224147977504e-56,"MYADM"
4.93465999966463e-60,-0.588276813638648,0.472,0.595,1.45310933010124e-55,"DCXR"
7.72966168370526e-60,-0.537085798411099,0.114,0.201,2.27615347600069e-55,"VIMP"
1.68949396123859e-59,-0.559445382579521,0.145,0.239,4.97505286765929e-55,"SELK"
8.51459006276076e-59,-0.522082486459358,0.158,0.257,2.50729133578116e-54,"GLTSCR2"
2.06785370586769e-58,-1.0868467082393,0.139,0.226,6.0892088076686e-54,"FAM107A"
2.77176421476509e-58,-0.959962334306739,0.194,0.284,8.16201408321877e-54,"SPARC"
1.25248830978882e-57,-0.955801399740095,0.138,0.221,3.68820232583515e-53,"CALB1"
1.85809442050416e-57,-0.79963851131048,0.137,0.224,5.47153064005859e-53,"MYLK"
